month,base,reserve,base_emergency,reserve_emergency,reserve_minus_base_cost_yuan,reserve_minus_base_emergency_kwh
2025-02,1285353.9769750189,1286203.3161107516,67.50704973889114,230.8521264055577,849.3391357327346,163.34507666666656
2025-03,1114864.6237264145,1118435.8688341237,4541.3173707835385,5227.147405908226,3571.2451077091973,685.8300351246871
2025-04,945904.5830652307,950500.4067727191,11911.827145972418,12763.63890149465,4595.8237074883655,851.8117555222325
2025-05,972958.3701769186,979359.8853880861,14430.433652949981,15429.844274072204,6401.5152111675125,999.4106211222224
2025-06,1550342.3208876192,1561218.7300723568,37277.96684407305,39716.14082096397,10876.409184737597,2438.1739768909174
2025-07,1780949.8774446512,1799227.538260368,22653.76285261917,26600.01452764236,18277.66081571672,3946.2516750231916
2025-08,1469863.9254749944,1471958.571028248,435.69181666666526,839.5457566666652,2094.645553253591,403.8539399999999
2025-09,1153672.9663587478,1158326.2568084847,371.6737928499947,1206.5776657388822,4653.290449736873,834.9038728888875
2025-10,1128245.0015983814,1146806.8444833178,8171.182103099992,11525.0775875074,18561.84288493637,3353.895484407408
2025-11,1308031.8889997373,1319928.480454647,2972.670081183329,5045.83284007777,11896.591454909649,2073.162758894441
2025-12,1976899.9092656577,1983549.5526883896,22035.719078856153,23262.28022721726,6649.643422731897,1226.5611483611065
