month,load0_price0_cost_yuan,load0_price0_emergency_kwh,load0_price1_cost_yuan,load0_price1_emergency_kwh,load1_price0_cost_yuan,load1_price0_emergency_kwh,load1_price1_cost_yuan,load1_price1_emergency_kwh,load_effect_with_price_correction_yuan
2025-02,1285559.0527180699,181.2896323333332,1285660.2866829773,206.06580166666652,1277377.1019856262,529.3408164599554,1277445.6551331591,550.352999570127,-8214.631549818208
2025-03,1107693.2016627323,64.00322874444045,1107757.8653982524,64.00322874444045,1119271.4521509206,694.3643086299473,1119318.9925079485,697.8736524186984,11561.127109696157
2025-04,891661.6907306617,88.98385571111099,891556.6543378524,64.23801967222218,912256.1018131111,0.0,912315.9741037827,0.0,20759.319765930297
2025-05,965505.3657453308,11166.825938138882,965290.8953753507,11155.876922436659,957994.2996226135,9096.418002415365,957767.0939345807,9081.497569879359,-7523.801440770039
2025-06,1403276.8454078513,8002.960842788889,1403826.6255650804,8002.960842788885,1381284.4540310064,2506.0721275751207,1381533.6109846889,2506.357450796813,-22293.01458039158
2025-07,1740654.1787036485,13385.652181500007,1740073.0799001465,13192.689916500005,1714431.3157919515,2795.955109596728,1714470.0242163746,2776.162561763097,-25603.055683771847
2025-08,1495499.12052243,4.538833333333173,1495486.048955496,4.538833333333173,1458499.2578947104,737.7469724703204,1458403.2260272484,727.1971477489095,-37082.82292824751
2025-09,1181015.3080564295,605.5507738999978,1180899.9661428272,602.2813718055536,1164073.1461978324,244.310951820524,1164807.9939496284,442.5030861194987,-16091.972193198744
2025-10,1112374.9014840657,2654.0247040166614,1112492.038441178,2654.0247040166632,1128739.02257305,704.8385930460437,1128795.3846501692,696.6481066073464,16303.34620899125
2025-11,1315934.9468957856,1431.3934046166585,1316512.2598100505,1445.3937329499902,1319901.8035665797,727.4925754525646,1320613.6844950626,723.696231094272,4101.4246850120835
2025-12,1922580.6737749644,11995.610044261117,1921562.068810085,11771.465557238893,1922817.6431121018,246.5599862355462,1921415.5894741844,210.22400798964998,-146.47933590062894
