alpha,date,train_end_date,residual_history_start_date,residual_history_end_date,soc_open_kwh,soc_close_kwh,original_purchase_kwh,effective_purchase_kwh,upward_adjustment_kwh,downward_adjustment_kwh,emergency_purchase_kwh,base_plan_cost_yuan,downward_credit_yuan,upward_adjustment_cost_yuan,normal_settlement_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,surplus_discard_kwh
0.0,2025-02-01,2025-01-31,2025-01-02,2025-01-31,6000.0,9698.132278601235,51247.516323716874,47113.03302696653,0.0,4134.4832967503435,0.0,26892.026562188967,1166.973421984947,0.0,25725.05314020402,0.0,25725.05314020402,22541.473640750344,14930.274598266666,5123.6580511495185
0.0,2025-02-02,2025-02-01,2025-01-02,2025-02-01,9698.132278601235,9532.116331246914,93091.33040451714,88262.33786976487,99.90427362222067,4928.896808374489,0.0,59187.343746963204,1635.6717525458876,139.20398342002716,57690.87597783735,0.0,57690.87597783735,21727.072498138543,17748.343076111116,5927.330497737441
0.0,2025-02-03,2025-02-02,2025-01-02,2025-02-02,9532.116331246914,9410.58513116914,95680.99169039231,88895.42776903842,0.0,6785.563921353906,0.0,60859.01072747827,2357.4064264453054,0.0,58501.60430103297,0.0,58501.60430103297,22126.286442437584,18031.670098444443,4583.894925045266
0.0,2025-02-04,2025-02-03,2025-01-02,2025-02-03,9410.58513116914,9481.523380665434,97935.24928936761,91171.90429354736,70.01899040333495,6833.3639862235905,0.0,62798.0750803036,2449.8336984519624,98.07335234111383,60446.314734192754,0.0,60446.314734192754,22623.10471631275,18260.870395666665,5614.806022901281
0.0,2025-02-05,2025-02-04,2025-01-02,2025-02-04,9481.523380665434,9483.27930116173,92541.39275264746,89900.5223465199,507.1654702222221,3148.0358763497948,0.0,58885.58807965829,1165.494440423185,610.5160066623663,58330.609645897464,0.0,58330.609645897464,22340.12294732784,18093.919258888887,4905.891674747602
0.0,2025-02-06,2025-02-05,2025-01-02,2025-02-05,9483.27930116173,9425.868090053087,98291.45188204251,89387.68798140329,0.0,8903.763900639231,7.959461000000147,62993.567368590826,3278.635967229311,0.0,59714.93140136152,46.49519143150086,59761.426592793025,22554.400916738,18320.734832555558,4890.9241415541765
0.0,2025-02-07,2025-02-06,2025-01-02,2025-02-06,9425.868090053087,9274.601607253082,47795.3018282332,42991.22957039368,0.0,4804.0722578395125,0.0,25055.983530227713,1327.4348851958298,0.0,23728.548645031882,0.0,23728.548645031882,18545.14569675171,15157.707848888891,7798.112055864196
0.0,2025-02-08,2025-02-07,2025-01-02,2025-02-07,9274.601607253082,9413.562782283945,39020.361225467765,39441.14872502332,420.7874995555565,0.0,0.0,20342.96589250739,0.0,512.1104689133344,20855.076361420724,0.0,20855.076361420724,18626.31733741428,14962.25198577778,4199.920656720157
0.0,2025-02-09,2025-02-08,2025-01-02,2025-02-08,9413.562782283945,9169.035099271607,92298.9358445734,88615.25745376054,18.96169278777836,3702.6400836006333,0.0,58620.10998984667,1195.44530221632,25.354049631280496,57450.01873726163,0.0,57450.01873726163,21379.526286235938,17537.49120656222,5217.8064074201575
0.0,2025-02-10,2025-02-09,2025-01-02,2025-02-09,9169.035099271607,9121.483905364197,88597.13909280933,82336.14923459863,20.018424701111144,6281.008282911799,0.0,55829.35970004559,2176.402697395625,27.32920568322036,53680.286208333186,0.0,53680.286208333186,22222.10348226886,18042.699895154445,3830.108064150894
0.0,2025-02-11,2025-02-10,2025-01-02,2025-02-10,9121.483905364197,8963.634111281479,89203.03598766803,82645.21380146539,0.09053722222211036,6557.912723424869,0.0,56483.478178084515,2451.3805406970346,0.12722290466650948,54032.224860292146,0.0,54032.224860292146,22092.484867251034,18036.97755714778,3369.109358028805
0.0,2025-02-12,2025-02-11,2025-01-02,2025-02-11,8963.634111281479,9108.797407475307,89399.66444357613,82569.9039859218,0.0,6829.760457654323,7.652699999999982,56383.255523828586,2416.763332277495,0.0,53966.492191551086,33.51499964999992,54000.00719120108,22866.166930613173,18390.948247222223,2835.6018691975264
0.0,2025-02-13,2025-02-12,2025-01-02,2025-02-12,9108.797407475307,8574.512291879011,83460.18957240054,79196.14721509363,214.66640633333282,4478.708763640243,2.767724999999814,52146.328615121776,1552.9843123579822,274.80206722576594,50868.14636998957,12.121251637499185,50880.26762162706,21328.23891598766,17756.730125986673,4297.927133425981
0.0,2025-02-14,2025-02-13,2025-01-02,2025-02-13,8574.512291879011,8564.514762330866,39823.63373701509,40154.789072126194,703.718754555554,372.5634194444445,0.0,20438.446265992665,76.61766720875,946.5308096447304,21308.359408428645,0.0,21308.359408428645,18090.179015591224,14662.042779222225,6924.851019090533
0.0,2025-02-15,2025-02-14,2025-01-02,2025-02-14,8564.514762330866,8884.444467879013,40421.01490429492,39366.38838018381,44.975669777777796,1099.602193888889,0.0,21026.144124967548,343.6054175002,82.4808808054667,20765.01958827282,0.0,20765.01958827282,18149.02459903155,14412.773190222222,6350.045871374485
0.0,2025-02-16,2025-02-15,2025-01-02,2025-02-15,8884.444467879013,9014.41134214321,89066.79805780109,81289.61772286872,98.45309525555456,7875.633430187932,16.49964666666665,55930.421703241656,2834.967474268407,190.22614799801974,53285.68037697127,72.2602025766666,53357.94057954794,22881.871115670772,18417.345416855558,1464.2125707201694
0.0,2025-02-17,2025-02-16,2025-01-02,2025-02-16,9014.41134214321,8864.700615740743,88900.57938211795,77172.40345522709,0.0,11728.175926890875,0.0,55346.62756398333,3761.5890670221734,0.0,51585.03849696116,0.0,51585.03849696116,20875.212297474623,17043.661614716664,2156.9896058024624
0.0,2025-02-18,2025-02-17,2025-01-02,2025-02-17,8864.700615740743,9066.83631211852,79719.34666184636,78122.33035343426,319.48985161889084,1916.506160030999,12.7897999999999,49462.72305586947,608.029758041683,423.4201387841198,49278.11343661191,56.35232843333287,49334.46576504524,21647.883712989023,17352.86368078111,1748.7123378930048
0.0,2025-02-19,2025-02-18,2025-01-02,2025-02-18,9066.83631211852,8648.7809445642,79788.57062564208,79176.44299939895,180.89421856666763,793.0218448097987,69.32041166666659,49666.134482659734,296.2130453843994,243.77670653846437,49613.6981438138,303.58874289416633,49917.28688670797,22441.630781945136,18553.970764174446,2478.7760099615916
0.0,2025-02-20,2025-02-19,2025-01-02,2025-02-19,8648.7809445642,8183.954003411111,82484.74077586831,77682.37613723619,218.3100127777762,5020.674651409892,16.592149444444317,51158.838201114515,1656.8261432755116,324.075897781847,49826.08795562085,77.71762799777719,49903.805583618625,20833.9945000919,17293.87979211222,3165.719845367623
0.0,2025-02-21,2025-02-20,2025-01-02,2025-02-20,8183.954003411111,7911.692855908646,35470.302274844995,35696.13861251166,225.83633766666952,0.0,0.0,18315.294927605668,0.0,353.6239797606052,18668.918907366275,0.0,18668.918907366275,17157.25287684911,14142.409862999997,7121.033565329217
0.0,2025-02-22,2025-02-21,2025-01-02,2025-02-21,7911.692855908646,9033.733694104938,37054.08415590993,36849.97718827666,246.5384685944448,450.6454362277099,0.0,19284.17061574389,158.6571310312554,433.2901448966974,19558.803629609334,0.0,19558.803629609334,18862.271785630997,14268.603391984449,4411.54591129678
0.0,2025-02-23,2025-02-22,2025-01-02,2025-02-22,9033.733694104938,8794.233984233333,81447.18649687548,77085.54030687001,59.723651467776904,4421.369841473248,18.084320666666372,50348.416799814746,1524.8634835557789,109.259181857349,48932.81249811631,83.91344980488755,49016.7259479212,22433.61384334705,18386.776951995555,1524.9340528518508
0.0,2025-02-24,2025-02-23,2025-01-02,2025-02-23,8794.233984233333,9006.229609475306,78366.11418798902,74663.528476321,140.65115777777675,3843.2368694458114,52.39974177777788,48685.209192834736,1248.8666488040901,271.75913450033136,47708.10167853098,237.51779958100047,47945.61947811197,21009.90287235391,16827.225263888893,2330.216992967081
0.0,2025-02-25,2025-02-24,2025-01-02,2025-02-24,9006.229609475306,8816.524159080247,80759.48625827735,72469.11765415556,35.20812648889023,8325.576730610674,61.22655677777789,49949.93988371802,2795.747389883855,61.502930400265654,47215.695424234436,271.76139841322276,47487.456822647655,21281.192237695483,17408.500617888887,2836.329357793407
0.0,2025-02-26,2025-02-25,2025-01-02,2025-02-25,8816.524159080247,9053.576405281481,74146.94627775172,75580.71473635526,1449.0998707146746,15.331412111111263,27.341170777777847,45279.07464101275,3.5818763513222542,1409.9242153130976,46685.41697997453,119.73959558422253,46805.15657555875,22413.28769865981,17941.416014333336,2321.3361894732507
0.0,2025-02-27,2025-02-26,2025-01-02,2025-02-26,9053.576405281481,7399.784143141977,73442.0543265048,72060.00662416598,213.62906508230333,1595.6767674211285,20.962080555555644,45474.525166500884,440.0222810364811,305.06201906628235,45339.564904530685,93.87699846944487,45433.44190300013,20888.56672656652,18408.152084444446,2643.9698625994542
0.0,2025-02-28,2025-02-27,2025-01-03,2025-02-27,7399.784143141977,7162.1265028024745,34185.83753870308,33999.14149165919,0.0,186.6960470438956,0.0,17816.476814718324,87.99271606406681,0.0,17728.48409865426,0.0,17728.48409865426,17003.213736995887,13986.495003272223,7689.829207935526
0.0,2025-03-01,2025-02-28,2025-01-04,2025-02-28,7162.1265028024745,8962.478477271605,41597.802978463646,40431.88970124142,0.0,1165.9132772222213,0.0,21166.268358459325,367.47024857211073,0.0,20798.79810988721,0.0,20798.79810988721,18214.400676021945,13133.347770555554,11692.070862441697
0.0,2025-03-02,2025-03-01,2025-01-05,2025-03-01,8962.478477271605,8746.298405179012,84051.26584192044,79921.05742209396,904.89147323937,5035.099893065842,0.0,52165.85698280008,1583.3697634455843,1211.8882909283648,51794.37551028286,0.0,51794.37551028286,21839.198949869686,17884.31321427778,3607.864619835389
0.0,2025-03-03,2025-03-02,2025-01-06,2025-03-02,8746.298405179012,8694.563476993826,86173.86604368998,78873.0578996146,738.0406266666664,8038.84877074205,0.0,53456.929257953394,2635.3094441487283,968.1532237225832,51789.77303752725,0.0,51789.77303752725,22465.165131913574,18243.345192216668,2634.091326584361
0.0,2025-03-04,2025-03-03,2025-01-07,2025-03-03,8694.563476993826,8674.525830537035,77014.1605553155,75027.749510886,595.2337359888918,2581.644780418381,0.0,47427.74168016063,758.4316569202766,772.0159559395238,47441.32597917988,0.0,47441.32597917988,21303.75793481482,17274.07780901111,1798.6114517489616
0.0,2025-03-05,2025-03-04,2025-01-08,2025-03-04,8674.525830537035,8846.596669660492,80862.93329520576,72521.32715612621,196.75680277777815,8538.36294185734,0.0,49818.00133013477,2703.866283112514,364.77528283658376,47478.910329858845,0.0,47478.910329858845,21147.25343702332,16974.411528777775,2218.0132312139895
0.0,2025-03-06,2025-03-05,2025-01-09,2025-03-05,8846.596669660492,7197.711798858027,73664.90300161179,70560.4712927301,393.39976208539224,3497.8314709670813,0.0,45460.16427227344,986.7602318807601,509.8677678660632,44983.27180825874,0.0,44983.27180825874,19500.434287585733,17279.348156666667,2398.7310284777086
0.0,2025-03-07,2025-03-06,2025-01-10,2025-03-06,7197.711798858027,6610.670685277775,34135.649579470846,32778.139607907055,0.0,1357.509971563788,0.0,18091.19330814009,540.9752932977724,0.0,17550.218014842314,0.0,17550.218014842314,15037.470502160493,12708.688108972226,9527.071681385458
